x,y
335,493
321,475
308,462
299,455
291,449
282,443
271,437
261,431
252,425
241,417
231,409
224,402
216,392
211,380
210,366
210,355
215,340
220,329
229,317
237,309
253,298
268,289
284,283
300,275
311,269
326,261
335,254
349,241
358,228
365,215
372,200
376,188
380,170
381,157
381,149
379,140
372,126
366,117
362,112
347,108
324,103
307,103
290,102
278,104
264,107
252,113
239,119
221,127
210,131
203,135
190,145
183,151
175,159
171,167
166,177
164,189
164,196
164,200
165,202
177,210
185,216
197,222
213,227
225,230
237,231
246,231
261,232
277,232
290,232
297,231
307,230
313,230
316,230
324,231
333,233
341,235
349,241
357,246
363,252
371,262
374,268
377,272
378,279
378,283
378,288
377,291
372,295
366,296
361,297
350,298
333,299
322,300
307,300
286,300
272,301
261,301
251,302
239,302
235,302
229,302
220,304
213,304
200,307
192,309
181,309
168,310
160,311
153,311
143,311
133,311
130,312
123,314
120,315
111,319
108,320
104,321
99,324
