x,y
336,491
320,478
303,464
300,453
292,449
282,443
270,439
262,427
256,425
237,417
229,407
222,403
215,392
211,378
209,366
211,351
218,341
220,328
229,314
239,309
253,299
270,287
283,282
299,280
308,270
328,258
335,254
349,238
360,228
361,213
371,201
377,184
378,172
379,158
379,149
381,139
373,127
365,115
363,112
348,108
323,103
303,102
285,96
277,100
268,106
250,109
235,121
223,124
209,128
198,135
188,146
180,154
174,157
176,165
165,174
167,192
166,194
163,202
163,201
180,211
185,218
197,219
212,230
225,230
237,231
245,229
264,230
275,230
286,230
298,230
309,230
311,226
317,231
327,233
334,234
341,238
345,238
356,242
361,250
372,259
376,267
380,272
371,280
381,282
378,291
378,291
370,297
366,297
364,298
350,297
332,295
322,303
306,296
290,297
272,302
260,301
252,301
237,304
231,298
229,305
220,304
216,301
197,305
193,308
178,308
167,310
160,310
153,311
144,312
132,310
132,312
121,315
122,315
114,318
105,320
105,324
